Image Path,Cluster,Representative,Representative_R,Representative_G,Representative_B,Cluster_R,Cluster_G,Cluster_B
data/lfw-deepfunneled/John_Burkett/John_Burkett_0001.jpg,3,0,107.0,69.0,48.0,105.99072751322751,69.3340343915344,48.62941798941799
data/lfw-deepfunneled/Brian_Lara/Brian_Lara_0001.jpg,3,1,103.0,67.0,48.0,105.99072751322751,69.3340343915344,48.62941798941799
data/lfw-deepfunneled/Tina_Pisnik/Tina_Pisnik_0001.jpg,3,2,108.0,65.0,49.0,105.99072751322751,69.3340343915344,48.62941798941799
data/lfw-deepfunneled/Nadia_Petrova/Nadia_Petrova_0003.jpg,3,3,104.0,64.0,47.0,105.99072751322751,69.3340343915344,48.62941798941799
data/lfw-deepfunneled/James_Cunningham/James_Cunningham_0003.jpg,4,0,171.0,115.0,89.0,170.54916243654822,116.19756345177665,88.29607021996615
data/lfw-deepfunneled/Jorge_Rodolfo_Canicoba_Corral/Jorge_Rodolfo_Canicoba_Corral_0002.jpg,4,1,170.0,118.0,89.0,170.54916243654822,116.19756345177665,88.29607021996615
data/lfw-deepfunneled/Marwan_Muasher/Marwan_Muasher_0001.jpg,4,2,173.0,115.0,88.0,170.54916243654822,116.19756345177665,88.29607021996615
data/lfw-deepfunneled/Clint_Howard/Clint_Howard_0001.jpg,4,3,170.0,113.0,90.0,170.54916243654822,116.19756345177665,88.29607021996615
data/lfw-deepfunneled/Melvin_Talbert/Melvin_Talbert_0001.jpg,5,0,154.0,98.0,65.0,153.34176509186352,97.16560367454068,67.40323490813648
data/lfw-deepfunneled/Joseph_Fiennes/Joseph_Fiennes_0001.jpg,5,1,155.0,99.0,67.0,153.34176509186352,97.16560367454068,67.40323490813648
data/lfw-deepfunneled/Allyson_Felix/Allyson_Felix_0003.jpg,5,2,152.0,99.0,65.0,153.34176509186352,97.16560367454068,67.40323490813648
data/lfw-deepfunneled/Marc_Gold/Marc_Gold_0001.jpg,5,3,155.0,98.0,69.0,153.34176509186352,97.16560367454068,67.40323490813648
data/lfw-deepfunneled/Guus_Hiddink/Guus_Hiddink_0001.jpg,6,0,164.0,127.0,108.0,163.60509868421053,125.76427266081872,110.20488304093567
data/lfw-deepfunneled/Dorthy_Moxley/Dorthy_Moxley_0002.jpg,6,1,165.0,124.0,111.0,163.60509868421053,125.76427266081872,110.20488304093567
data/lfw-deepfunneled/Nong_Duc_Manh/Nong_Duc_Manh_0001.jpg,6,2,162.0,125.0,112.0,163.60509868421053,125.76427266081872,110.20488304093567
data/lfw-deepfunneled/Martin_McGuinness/Martin_McGuinness_0001.jpg,6,3,165.0,125.0,112.0,163.60509868421053,125.76427266081872,110.20488304093567
data/lfw-deepfunneled/Mian_Khursheed_Mehmood_Kasuri/Mian_Khursheed_Mehmood_Kasuri_0004.jpg,7,0,204.0,152.0,126.0,204.4788671875,152.509609375,126.13712239583333
data/lfw-deepfunneled/David_Brinkley/David_Brinkley_0001.jpg,7,1,205.0,151.0,128.0,204.4788671875,152.509609375,126.13712239583333
data/lfw-deepfunneled/Monica_Bellucci/Monica_Bellucci_0001.jpg,7,2,201.0,155.0,125.0,204.4788671875,152.509609375,126.13712239583333
data/lfw-deepfunneled/Peter_Arnett/Peter_Arnett_0002.jpg,7,3,202.0,154.0,124.0,204.4788671875,152.509609375,126.13712239583333
data/lfw-deepfunneled/Mike_Leach/Mike_Leach_0001.jpg,8,0,128.0,88.0,70.0,126.4494978401728,89.68534557235421,70.46976781857452
data/lfw-deepfunneled/Barry_Zito/Barry_Zito_0002.jpg,8,1,125.0,91.0,71.0,126.4494978401728,89.68534557235421,70.46976781857452
data/lfw-deepfunneled/Raul_Chacon/Raul_Chacon_0001.jpg,8,2,126.0,88.0,72.0,126.4494978401728,89.68534557235421,70.46976781857452
data/lfw-deepfunneled/James_Lockhart/James_Lockhart_0001.jpg,8,3,127.0,90.0,72.0,126.4494978401728,89.68534557235421,70.46976781857452
data/lfw-deepfunneled/Mary_Tyler_Moore/Mary_Tyler_Moore_0002.jpg,9,0,177.0,143.0,130.0,178.8157808857809,143.6800233100233,130.8338752913753
data/lfw-deepfunneled/Guido_Westerwelle/Guido_Westerwelle_0001.jpg,9,1,180.0,143.0,129.0,178.8157808857809,143.6800233100233,130.8338752913753
data/lfw-deepfunneled/Katherine_Harris/Katherine_Harris_0001.jpg,9,2,176.0,143.0,129.0,178.8157808857809,143.6800233100233,130.8338752913753
data/lfw-deepfunneled/Alberto_Ruiz_Gallardon/Alberto_Ruiz_Gallardon_0001.jpg,9,3,181.0,144.0,130.0,178.8157808857809,143.6800233100233,130.8338752913753
