Image Path,Cluster,Representative,Representative_R,Representative_G,Representative_B,Cluster_R,Cluster_G,Cluster_B
data/lfw-deepfunneled/Charles_Rogers/Charles_Rogers_0001.jpg,6,2,141.0,102.0,86.0,141.84265541740675,104.63983570159857,88.54949822380107
data/lfw-deepfunneled/Donald_Rumsfeld/Donald_Rumsfeld_0098.jpg,6,3,144.0,106.0,87.0,141.84265541740675,104.63983570159857,88.54949822380107
data/lfw-deepfunneled/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,7,0,200.0,142.0,111.0,199.8144131455399,142.3611561032864,112.97508802816901
data/lfw-deepfunneled/Hank_Bass/Hank_Bass_0001.jpg,7,1,200.0,140.0,112.0,199.8144131455399,142.3611561032864,112.97508802816901
data/lfw-deepfunneled/Jim_Taylor/Jim_Taylor_0001.jpg,7,2,199.0,141.0,111.0,199.8144131455399,142.3611561032864,112.97508802816901
data/lfw-deepfunneled/Edward_Lu/Edward_Lu_0004.jpg,7,3,200.0,144.0,112.0,199.8144131455399,142.3611561032864,112.97508802816901
data/lfw-deepfunneled/Alexa_Vega/Alexa_Vega_0001.jpg,8,0,182.0,124.0,96.0,182.6465189243028,123.73381474103586,94.28240039840638
data/lfw-deepfunneled/Thomas_Gottschalk/Thomas_Gottschalk_0001.jpg,8,1,182.0,125.0,91.0,182.6465189243028,123.73381474103586,94.28240039840638
data/lfw-deepfunneled/Kiki_Vandeweghe/Kiki_Vandeweghe_0002.jpg,8,2,182.0,120.0,93.0,182.6465189243028,123.73381474103586,94.28240039840638
data/lfw-deepfunneled/Neil_Moritz/Neil_Moritz_0001.jpg,8,3,184.0,124.0,91.0,182.6465189243028,123.73381474103586,94.28240039840638
data/lfw-deepfunneled/Aileen_Riggin_Soule/Aileen_Riggin_Soule_0001.jpg,9,0,196.0,154.0,137.0,195.56761904761905,155.27026077097506,137.32545918367347
cropped_faces/cropped_amelia_gray.jpg,9,1,195.0,157.0,135.0,195.56761904761905,155.27026077097506,137.32545918367347
data/lfw-deepfunneled/Celine_Dion/Celine_Dion_0005.jpg,9,2,194.0,154.0,135.0,195.56761904761905,155.27026077097506,137.32545918367347
data/lfw-deepfunneled/Maurice_Strong/Maurice_Strong_0001.jpg,9,3,193.0,154.0,136.0,195.56761904761905,155.27026077097506,137.32545918367347
